,state_name,total_households_applied_for_job_card,total_job_cards_issued,total_job_cards_(sc),total_job_cards_(st),total_job_cards_(non-sc/st),total_households_demanded_work,total_persons_demanded_work,total_households_allotted_work,total_persons_allotted_work,total_muster_rolls_filled,total_households_worked,total_persons_worked,total_households_reached_100_day_limit,total_persons_with_disability,total_households_worked_(non-sc/st),total_person-days_worked_(non-sc/st),total_sc_households_worked,total_person-days_worked_by_scs,total_st_households_worked,total_person-days_worked_by_sts,total_land_reform/iay_households_worked,total_person-days_worked_by_women,total_person-days,total_sc_households_over_100_day_limit,total_st_households_over_100_day_limit,total_households_demanded_work,total_persons_demanded_work,total_households_worked,total_persons_worked,"labour_exp._(disbursed,_rs._in_lakhs)","material_exp._(disbursed,_rs._in_lakhs)","labour_exp._(disbursed_+_pending,_rs._in_lakhs)","material_exp._(disbursed_+_pending,_rs._in_lakhs)",amount_sanctioned_(rs._in_lakhs),total_works,total_bank_accounts,total_individual_bank_accounts,total_joint_bank_accounts,amount_disbursed_to_bank_accounts,total_post_office_accounts,total_individual_post_office_accounts,total_joint_post_office_accounts,amount_disbursed_to_post_office_accounts,year,month
18,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,262,268,284,4247,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,February
19,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,207537,208049,199554,2246204,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,February
20,GOA,32616,29934,746,8826,20362,11174,11757,11174,11757,3250,11167,11748,143,3,8293,234742,343,10350,2531,65809,11,235189,310901,6,36,1230,1276,1227,10330,489.65,150.98,490.4,154.65,1442.81,6729.0,16861,16701,160,50238812,5,5,0,0,2011-2012,February
21,GUJARAT,4084953,4082518,345563,1337688,2399267,836961,1945400,836903,1945288,385584,822080,1902979,41767,26576,411559,16191518,62611,2451228,347910,12657222,27051,14461828,31299968,4049,15517,211964,387300,190853,3207421,34910.65,24836.48,34922.16,24888.52,58759896.59,674035.0,610925,382075,228850,777958042,1972313,1170647,801666,2405571840,2011-2012,February
22,HARYANA,677854,677314,335171,115,342028,278471,473722,278471,473722,111723,277748,471845,13742,297,131672,5465892,145981,5466900,95,3248,740,3987337,10936040,6595,2,70838,103323,71381,1134145,19323.13,10238.49,19323.49,10238.78,1189999.44,129566.0,554017,363931,190086,1553224863,59021,41036,17985,160768725,2011-2012,February
23,HIMACHAL PRADESH,1106662,1106283,305469,66061,734753,529187,659855,529194,659896,192276,505467,623416,48043,2080,324708,17320067,148508,8042128,32251,1650637,10715,16033760,27012832,14908,2288,192449,212301,171505,2822103,32265.24,14623.86,32568.41,14652.02,2564854297.7,371744.0,335751,312178,23573,1312497752,63131,59372,3759,226090016,2011-2012,February
24,JAMMU AND KASHMIR,982755,863615,68741,136870,658004,440254,619449,436687,614541,181778,431146,605007,37050,3444,328133,16134513,32903,1406929,70116,3368872,5627,3895806,20910314,2225,4781,90867,114244,105589,2081135,22565.49,14886.34,24714.44,18701.13,55727547.49,370672.0,673744,580551,93193,1546209882,38048,29748,8300,137952586,2011-2012,February
25,JHARKHAND,4040997,4029868,544400,1508085,1977383,1582170,2578777,1582182,2578788,1213241,1574657,2561270,58080,7829,737734,29073722,195509,7814556,641414,24082517,10800,19126838,60970795,7583,22504,312556,445308,332341,4614114,73372.07,35245.1,73407.24,35434.41,77285258.54,1149469.0,464580,370129,94451,697691834,2825399,2104555,720844,6295642799,2011-2012,February
26,KARNATAKA,5591526,5585405,962857,467211,4155337,1663498,4591902,1663351,4591450,324050,1652116,4550123,45144,6440,1246720,53217076,269779,11074331,135617,5811334,23675,32340909,70102741,6869,3277,609534,1513101,558839,15221830,95653.25,56036.13,97441.6,56851.54,18307855.09,2005069.0,2980946,1075042,1905904,8595856885,1108876,448605,660271,3648201051,2011-2012,February
27,KERALA,1886774,1877027,235046,40777,1601204,1418062,1565111,1418055,1565095,1669662,1416441,1562991,124821,1391,1182876,51888165,200330,9885045,33235,1536400,13092,58828359,63309610,19589,2789,840498,886095,782182,8384808,97167.22,3289.16,97207.4,3291.65,893604.56,960768.0,1673450,1658470,14980,7707894255,175058,173881,1177,889940347,2011-2012,February
28,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5123,5496,6613,77257,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,February
29,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,February
30,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,February
31,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,262,268,284,4247,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,February
32,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,207537,208049,199554,2246204,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,February
33,MADHYA PRADESH,11977840,11971776,1839021,2746339,7386416,3895759,8603177,3893714,8597609,1551044,3879959,8543387,304477,10744,1989563,85991248,755524,33936191,1134872,48970458,20432,72398492,169434718,66750,88243,1228135,2143549,1222151,18721594,192554.43,125891.67,196023.54,130799.56,2530970286.48,2814180.0,2984510,1893951,1090559,6831088295,1537403,1016403,521000,3643829262,2011-2012,February
34,MAHARASHTRA,6905886,6797949,591358,884478,5322113,1520457,2909557,1518243,2904675,771486,1504521,2872762,197185,33185,1116046,55935642,114627,6059332,273848,15206883,21133,35454207,77201857,15890,39973,509558,917247,513514,11083251,108950.04,40056.74,110780.26,41109.86,522012020.75,1389293.0,1099291,999907,99384,1835674612,2781978,2608339,173639,9040607337,2011-2012,February
35,MANIPUR,472204,461020,8710,231262,221048,380571,446039,377855,443224,145351,356264,419362,112239,419,152502,6634236,3244,149499,200518,15623675,100,7568409,22407410,172,103567,171513,185509,174250,2783884,26544.37,1979.22,28063.78,3958.61,456796.41,44884.0,33344,30169,3175,0,155971,121731,34240,0,2011-2012,February
36,MEGHALAYA,457540,457113,4000,418081,35032,335781,470820,335616,470582,180341,335182,468573,35181,215,22150,1061148,3065,107728,309967,15606204,3346,6991911,16775080,29,34250,79477,99236,79058,1164283,19339.54,8592.98,19381.98,8602.8,37795330.08,106544.0,80301,65414,14887,0,55186,49081,6105,0,2011-2012,February
37,MIZORAM,190099,190089,166,189453,470,175688,185453,168734,177310,38663,168731,171717,75524,70,478,33213,41,2978,168192,13023567,3491,3166664,13059758,18,72402,131461,131547,119611,1780624,15237.28,5259.38,16868.6,5428.28,5303552.78,46665.0,19430,12439,6991,228479059,91301,43069,48232,731460744,2011-2012,February
38,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5123,5496,6613,77257,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,February
39,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,February
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,February
41,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,262,268,284,4247,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,February
42,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,207537,208049,199554,2246204,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,February
43,ODISHA,6163936,6151353,1173057,1735153,3243143,1391497,2631257,1391457,2631165,969065,1378597,2597613,47629,3252,620946,20113621,247318,7933674,510333,17327256,21054,17562813,45374551,8427,21095,271421,452653,250786,3602607,55922.37,41120.93,55929.37,41123.41,579808.45,1121729.0,2798831,2145749,653082,2870403011,1727533,1009888,717645,2454529346,2011-2012,February
44,PUDUCHERRY,66941,66549,18858,73,47618,42554,51355,42554,51354,4261,42546,51253,202,32,28972,705636,13532,372216,42,1011,15,867970,1078863,53,0,14194,15988,14213,139119,1004.08,0.0,1251.59,0.0,17828.89,5043.0,43593,43125,468,75169392,1,1,0,714,2011-2012,February
45,PUNJAB,880093,875811,667334,266,208211,246104,291981,246056,291917,74696,245453,290980,3786,201,48925,1455815,196452,4993821,76,2145,1208,2787758,6451781,2704,3,31377,34693,31703,373493,9103.29,5764.96,9114.72,5788.72,7462293.82,81638.0,418320,342071,76249,481262430,214595,184813,29782,285028827,2011-2012,February
46,RAJASTHAN,10022207,10006479,1665707,1653372,6687400,4705748,6500465,4705469,6498680,2663566,4522234,6188067,335621,3143,2728400,123284462,802562,36399790,991272,52370887,7581,146979926,212055139,54679,99195,1315146,1524338,1079198,14047317,184904.29,96229.64,185071.45,97316.2,16292438.07,1533795.0,4687921,3716157,971764,11229537189,4517609,4227258,290351,8515372171,2011-2012,February
47,SIKKIM,80444,80246,4077,29414,46755,55839,72592,55748,72476,10661,54684,71096,8746,91,32015,1951868,2583,148978,20086,1187068,92,1471441,3287914,332,3097,17063,20781,18324,365512,2843.99,1422.65,3765.13,2666.08,1507309.92,21941.0,47033,37652,9381,231516528,30755,26662,4093,134594439,2011-2012,February
48,TAMIL NADU,8419826,8371307,2239028,133854,5998425,6375637,9807662,6373922,9804557,681767,6343339,9733544,602619,41319,4472611,209762584,1779520,87959409,91208,3852578,72096,223597433,301574571,189734,7267,2896077,3729106,2927797,30032960,278482.15,0.02,278643.88,0.02,164777140.87,527190.0,3741311,3703871,37440,0,553,297,256,0,2011-2012,February
49,TRIPURA,603959,603777,110648,233709,259420,567101,1058381,567094,1058347,872690,566770,1055186,199503,12895,238495,19584758,104574,8817804,223701,20571092,99914,18958202,48973654,28252,110226,367641,478524,369222,5220230,57785.28,28835.78,57869.65,29067.63,520599.14,577986.0,507487,166127,341360,4255720015,163926,68200,95726,1337118235,2011-2012,February
50,UTTAR PRADESH,15120532,14923531,4713324,160455,10049752,7363574,9341810,7362347,9340156,4354362,7327738,9285730,309033,17530,4805084,176393359,2437931,87632247,84723,3310384,43932,45932853,267335990,101846,5060,1053525,1187467,1065264,12625010,315134.13,156440.47,321488.63,159569.53,9908340139.28,7620149.0,11857030,10824034,1032996,28394716463,1103527,1032963,70564,2634418598,2011-2012,February
51,UTTARAKHAND,1037940,1031941,213266,37444,781231,471192,557019,471014,556959,301900,469285,554130,22324,415,369654,15660115,85167,3667187,14464,570409,1915,8893264,19897711,4542,744,89585,96964,107165,1574267,22739.53,13407.11,24179.89,13668.81,73162700.55,283171.0,356449,338128,18321,946704875,195926,185940,9986,642418853,2011-2012,February
52,WEST BENGAL,11226851,11223660,3172556,873837,7177267,5532363,8051066,5531559,8048941,3202135,5516968,8019552,119604,98371,3209904,83790030,1791155,50289277,515909,15514426,411211,48623882,149593733,42204,14976,2994660,3980962,2983577,35795936,182058.69,78794.35,186340.47,80164.07,1017005282729160.0,2119103.0,3026456,2472566,553890,6631387595,4914067,4090281,823786,10244023301,2011-2012,February
53,Total,122641399,121954144,24721127,17778769,79454248,47706208,75529552,47670521,75478052,27389708,50133552,79787503,4188013,360727,29994362,1246996637,11004031,456085407,9146553,496343976,1585510,1019797985,2199962841,635782,1139395,16413576,22350477,16083931,215113099,2571827.71,1071822.18,2627246.94,1108103.51,1017237955892240.0,35111765.0,43375877,35451026,7924851,93222672063,34374439,28348352,6026087,72562290920,2011-2012,February
0,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,2406,2546,3408,30607,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,March
1,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,March
2,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,March
3,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,212,216,136,2377,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,March
4,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,176519,178322,173512,1288331,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,March
5,ANDHRA PRADESH,7166470,7166470,1768221,600513,4797736,0,0,0,0,2277681,2914172,5204756,631290,52140,1813681,104469466,786499,49667773,313570,28964178,747146,103403566,183101417,0,0,0,0,0,0,286460.21,88364.51,286684.52,88365.52,210979076287.84,7504509.0,0,0,0,0,0,0,0,0,2011-2012,March
6,ARUNACHAL PRADESH,163974,159779,84,145256,14439,14979,16081,8527,8557,265,4443,4473,0,1,20,69,1,3,4422,72807,88,24977,72879,0,0,3259,3293,1034,17176,46.47,0.0,71.43,2.87,2023.58,4217.0,51581,50223,1358,6817332,93480,88384,5096,289218,2011-2012,March
7,ASSAM,3949587,3942091,238692,649816,3053583,1355103,1614185,1354996,1614074,486632,1349078,1606192,15750,2256,998676,25266362,80439,1977589,269963,8018997,23696,8796870,35262948,755,6080,549942,637515,546947,6534165,45927.39,22528.47,45980.81,22557.06,366001486.85,264881.0,1115050,938934,176116,1841747792,1417936,1279361,138575,2266244645,2011-2012,March
8,BIHAR,12698704,12631893,3016896,193747,9421250,1805317,2357361,1797592,2346865,2568657,1769469,2307642,170227,4748,1287786,49926376,448142,17073233,33541,1216160,5366,19687045,68215769,38698,1918,342890,431986,407497,6298113,69417.5,55226.33,88205.65,66064.1,2239641628.82,1499264.0,309812,255275,54537,305984890,4334170,3668579,665591,8504171028,2011-2012,March
9,CHHATTISGARH,4402364,4390536,460416,1467064,2463056,2739202,5967863,2740432,5970957,1941326,2725027,5911119,207643,30960,1485904,63393459,278156,11703666,960967,45578537,8778,55720356,120675662,17973,93490,875614,1417612,871218,11167358,146353.18,47797.18,147985.85,49633.43,58729537.9,1283086.0,2346648,2285677,60971,4684177715,4762046,4584798,177248,8269583918,2011-2012,March
10,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,2406,2546,3408,30607,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,March
11,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,March
12,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,March
13,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,212,216,136,2377,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,March
14,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,176519,178322,173512,1288331,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,March
15,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,2406,2546,3408,30607,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,March
16,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,March
17,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,March
18,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,212,216,136,2377,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,March
19,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,176519,178322,173512,1288331,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,March
20,GOA,32616,29934,746,8826,20362,11174,11757,11174,11757,3250,11167,11748,143,3,8293,234742,343,10350,2531,65809,11,235189,310901,6,36,570,579,568,4225,489.65,150.98,490.4,154.65,1442.81,6729.0,16861,16701,160,50238812,5,5,0,0,2011-2012,March
21,GUJARAT,4084953,4082518,345563,1337688,2399267,836961,1945400,836903,1945288,385584,822080,1902979,41767,26576,411559,16191518,62611,2451228,347910,12657222,27051,14461828,31299968,4049,15517,189636,351399,163732,2437434,34910.65,24836.48,34922.16,24888.52,58759896.59,674035.0,610925,382075,228850,777958042,1972313,1170647,801666,2405571840,2011-2012,March
22,HARYANA,677854,677314,335171,115,342028,278471,473722,278471,473722,111723,277748,471845,13742,297,131672,5465892,145981,5466900,95,3248,740,3987337,10936040,6595,2,68999,104059,68565,1113463,19323.13,10238.49,19323.49,10238.78,1189999.44,129566.0,554017,363931,190086,1553224863,59021,41036,17985,160768725,2011-2012,March
23,HIMACHAL PRADESH,1106662,1106283,305469,66061,734753,529187,659855,529194,659896,192276,505467,623416,48043,2080,324708,17320067,148508,8042128,32251,1650637,10715,16033760,27012832,14908,2288,182667,204797,159093,2470299,32265.24,14623.86,32568.41,14652.02,2564854297.7,371744.0,335751,312178,23573,1312497752,63131,59372,3759,226090016,2011-2012,March
24,JAMMU AND KASHMIR,982755,863615,68741,136870,658004,440254,619449,436687,614541,181778,431146,605007,37050,3444,328133,16134513,32903,1406929,70116,3368872,5627,3895806,20910314,2225,4781,92752,118026,107123,2238807,22565.49,14886.34,24714.44,18701.13,55727547.49,370672.0,673744,580551,93193,1546209882,38048,29748,8300,137952586,2011-2012,March
25,JHARKHAND,4040997,4029868,544400,1508085,1977383,1582170,2578777,1582182,2578788,1213241,1574657,2561270,58080,7829,737734,29073722,195509,7814556,641414,24082517,10800,19126838,60970795,7583,22504,444070,636798,457480,6452050,73372.07,35245.1,73407.24,35434.41,77285258.54,1149469.0,464580,370129,94451,697691834,2825399,2104555,720844,6295642799,2011-2012,March
26,KARNATAKA,5591526,5585405,962857,467211,4155337,1663498,4591902,1663351,4591450,324050,1652116,4550123,45144,6440,1246720,53217076,269779,11074331,135617,5811334,23675,32340909,70102741,6869,3277,811418,2125171,709428,18307822,95653.25,56036.13,97441.6,56851.54,18307855.09,2005069.0,2980946,1075042,1905904,8595856885,1108876,448605,660271,3648201051,2011-2012,March
27,KERALA,1886774,1877027,235046,40777,1601204,1418062,1565111,1418055,1565095,1669662,1416441,1562991,124821,1391,1182876,51888165,200330,9885045,33235,1536400,13092,58828359,63309610,19589,2789,676415,711223,668199,6411072,97167.22,3289.16,97207.4,3291.65,893604.56,960768.0,1673450,1658470,14980,7707894255,175058,173881,1177,889940347,2011-2012,March
28,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,2406,2546,3408,30607,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,March
29,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,March
30,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,March
31,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,212,216,136,2377,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,March
32,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,176519,178322,173512,1288331,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,March
33,MADHYA PRADESH,11977840,11971776,1839021,2746339,7386416,3895759,8603177,3893714,8597609,1551044,3879959,8543387,304477,10744,1989563,85991248,755524,33936191,1134872,48970458,20432,72398492,169434718,66750,88243,906518,1585698,899460,12953299,192554.43,125891.67,196023.54,130799.56,2530970286.48,2814180.0,2984510,1893951,1090559,6831088295,1537403,1016403,521000,3643829262,2011-2012,March
34,MAHARASHTRA,6905886,6797949,591358,884478,5322113,1520457,2909557,1518243,2904675,771486,1504521,2872762,197185,33185,1116046,55935642,114627,6059332,273848,15206883,21133,35454207,77201857,15890,39973,474463,856851,477632,9928668,108950.04,40056.74,110780.26,41109.86,522012020.75,1389293.0,1099291,999907,99384,1835674612,2781978,2608339,173639,9040607337,2011-2012,March
35,MANIPUR,472204,461020,8710,231262,221048,380571,446039,377855,443224,145351,356264,419362,112239,419,152502,6634236,3244,149499,200518,15623675,100,7568409,22407410,172,103567,49832,56879,151689,2160301,26544.37,1979.22,28063.78,3958.61,456796.41,44884.0,33344,30169,3175,0,155971,121731,34240,0,2011-2012,March
36,MEGHALAYA,457540,457113,4000,418081,35032,335781,470820,335616,470582,180341,335182,468573,35181,215,22150,1061148,3065,107728,309967,15606204,3346,6991911,16775080,29,34250,59265,71960,59029,697506,19339.54,8592.98,19381.98,8602.8,37795330.08,106544.0,80301,65414,14887,0,55186,49081,6105,0,2011-2012,March
37,MIZORAM,190099,190089,166,189453,470,175688,185453,168734,177310,38663,168731,171717,75524,70,478,33213,41,2978,168192,13023567,3491,3166664,13059758,18,72402,109724,109725,94479,1629334,15237.28,5259.38,16868.6,5428.28,5303552.78,46665.0,19430,12439,6991,228479059,91301,43069,48232,731460744,2011-2012,March
38,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,2406,2546,3408,30607,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,March
39,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,March
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,March
41,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,212,216,136,2377,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,March
42,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,176519,178322,173512,1288331,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,March
43,ODISHA,6163936,6151353,1173057,1735153,3243143,1391497,2631257,1391457,2631165,969065,1378597,2597613,47629,3252,620946,20113621,247318,7933674,510333,17327256,21054,17562813,45374551,8427,21095,485930,823433,420286,6245523,55922.37,41120.93,55929.37,41123.41,579808.45,1121729.0,2798831,2145749,653082,2870403011,1727533,1009888,717645,2454529346,2011-2012,March
44,PUDUCHERRY,66941,66549,18858,73,47618,42554,51355,42554,51354,4261,42546,51253,202,32,28972,705636,13532,372216,42,1011,15,867970,1078863,53,0,13583,15081,13583,114999,1004.08,0.0,1251.59,0.0,17828.89,5043.0,43593,43125,468,75169392,1,1,0,714,2011-2012,March
45,PUNJAB,880093,875811,667334,266,208211,246104,291981,246056,291917,74696,245453,290980,3786,201,48925,1455815,196452,4993821,76,2145,1208,2787758,6451781,2704,3,56277,64721,56949,707860,9103.29,5764.96,9114.72,5788.72,7462293.82,81638.0,418320,342071,76249,481262430,214595,184813,29782,285028827,2011-2012,March
46,RAJASTHAN,10022207,10006479,1665707,1653372,6687400,4705748,6500465,4705469,6498680,2663566,4522234,6188067,335621,3143,2728400,123284462,802562,36399790,991272,52370887,7581,146979926,212055139,54679,99195,1708678,2042935,1410626,20388605,184904.29,96229.64,185071.45,97316.2,16292438.07,1533795.0,4687921,3716157,971764,11229537189,4517609,4227258,290351,8515372171,2011-2012,March
